NUMBER PLATE,STARTING POINT,DESTINATION,DECISION
KL15A904,KOLLAM,KOZHIKODE,0
KL15A1862,ERNAKULAM,KOZHIKODE,0
KL15A2583,CHENGANNUR,GURUVAYUR,0
KL15A2605,THRISSUR,KOLLAM,0
KL15A0462,GURUVAYUR,KAYAMKULAM,0
KL15A1564,ERNAKULAM,THRISSUR,0
KL12A487,THRISSUR,ERNAKULAM,0
KL15A2043,PALA,KOZHIKODE,0
KL15A1645,THAMARASSERY,ERNAKULAM,0
KL15A935,TRIVANDRUM,SULTAN BATHERY,0
KL15A2417,COIMBATORE,KOTTARAKKARA,0
KL15A2517,KOZHIKODE,THALASSERY,0
KL15A1728,THRISSUR,ERNAKULAM,0
KL15A1633,KATTAPPANA,PALAKAD,0
KL15A2473,TRIVANDRUM,THRISSUR,0
KL15A9706,ALUVA,THRISSUR,0
KL15A2301,THRISSUR,KOTTAYAM,0
KL15A1562,ERNAKULAM,THRISSUR,0
KL15A0715,PALAKAD,TRIVANDRUM,0
KL15A2077,TRIVANDRUM,PONNANI,0
KL15A8785,THRISSUR,ALUVA,0
KL15A0246,KOLLAM,KOTTARAKKARA,0
KL15A2300,THRISSUR,VYTILLA,0
KL15A1824,THRISSUR,ALAPPUZHA,0
KL15A1508,THRISSUR,ERNAKULAM,0
KL15A2087,TRIVANDRUM,THRISSUR,0
KL15A0964,KAYAMKULAM,GURUVAYUR,0
KL15A91,KOZHIKODE,ERNAKULAM,0
KL15A867,MUVATTUPUZHA,TRIVANDRUM,0
KL15A1711,KOTTAYAM,THRISSUR,0
KL15A2322,KOTTARAKKARA,KOZHIKODE,0
KL15A2514,THRISSUR,TRIVANDRUM,0
KL15A2040,KOLLAM,COIMBATORE,0
KL15A0497,THRISSUR,TRIVANDRUM,0
KL15A17,ALUVA,CHALAKUDY,0
KL15A0900,TRIVANDRUM,PALAKAD,0
KL15A1852,MAVELIKKARA,SETHAMOUNT,0
KL15A2602,KOTTAYAM,PALAKAD,0
KL15A1146,CHENGANNUR,THRISSUR,0
KL15A2302,THRISSUR,PATHANAMTHITTA,0
KL15A30,ALUVA,THRISSUR,0
KL15A0740,THRISSUR,THODUPUZHA,0
KL15A588,GURUVAYUR,KANJIRAPALLY,0
KL15A763,KOLLAM,THRISSUR,0
KL15A2531,THRISSUR,TRIVANDRUM,0
KL15A2064,THRISSUR,KAYAMKULAM,0
KL15A0513,THODUPUZHA,KOZHIKODE,0
KL15A1156,THRISSUR,KOTTAYAM,0
KL15A606,VYTILLA,THRISSUR,0
KL15A1652,CHALAKUDY,ERNAKULAM,0
KL15A589,THRISSUR,TRIVANDRUM,0
KL15A1828,ANGAMALY,ERNAKULAM,0
KL15A2345,ALUVA,THRISSUR,0
KL15A1491,MUVATTUPUZHA,THRISSUR,0
KL15A582,KAYAMKULAM,KANJIRAPALLY,0
KL152683,THRISSUR,TRIVANDRUM,0
KL15A1195,TRIVANDRUM,THRISSUR,0
KL15A1281,CHALAKUDY,ERNAKULAM,0
KL15A1854,THRISSUR,MOOLAMATTOM,0
KL15A9807,VADAKKANCHERI,PALAKAD,0
KL15A1274,KOZHIKODE,KATTAPPANA,0
KL15A0472,THRISSUR,PALA,0
KL15A2543,THRISSUR,TRIVANDRUM,0
KL15A2230,MUVATTUPUZHA,PALA,0
KL15A1725,THRISSUR,KOZHIKODE,0
KL15A1599,CHALAKUDY,ERNAKULAM,0
KL15A2420,KOLLAM,THRISSUR,0
KL15A1791,ANGAMALY,KOLLAM,0
KL15A134,ANGAMALY,KOZHIKODE,0
KL15A8232,KOLLAM,THRISSUR,0
KL15A2532,KOTTARAKKARA,COIMBATORE,0
KL15A2518,THRISSUR,KOZHIKODE,0
KL15A1943,THODUPUZHA,TRIVANDRUM,0
KL15A2587,TRIVANDRUM,MALAPPURAM,0
KL15A308,MUVATTUPUZHA,PALAKAD,0
KL15A1623,THRISSUR,KOTTAYAM,0
KL15A517,CHALAKUDY,ERNAKULAM,0
KL15A626,TRIVANDRUM,ALAPPUZHA,0
KL15A1622,ALUVA,THRISSUR,0
KL15A1861,PALA,KOZHIKODE,0
KL15A1030,KOZHIKODE,KOTTAYAM,0
KL15A1506,ALUVA,GURUVAYUR,0
KL15A1005,KOTTAYAM,PATHANAMTHITTA,0
KL15A381,KOLLAM,KOZHIKODE,0
KL15A8477,ANGAMALY,CHALAKUDY,0
KL15A2083,KOZHIKODE,ERNAKULAM,0
KL15A1564,ANGAMALY,KOTTAYAM,0
KL15A1267,THRISSUR,NADAVAL,0
KL15A1243,PALAKAD,TRIVANDRUM,0
KL15A1245,KOZHIKODE,ERNAKULAM,0
KL15A342,THRISSUR,ERNAKULAM,0
KL15A2561,KOTTARAKKARA,GURUVAYUR,0
KL15A487,ALUVA,THRISSUR,0
KL15A1867,KAZHIKULAM,THRISSUR,0
KL15A1867,KANJIRAKULAM,GURUVAYUR,0
KL15A487,ALUVA,THRISSUR,0
KL15A1582,THRISSUR,THODUPUZHA,0
KL15A1728,ALUVA,THRISSUR,0
KL15A2096,PERINTALMANNA,TRIVANDRUM,0
KL15A2068,MUVATTUPUZHA,PALAKAD,0
KL15A1562,THRISSUR,ERNAKULAM,0
KL15A0461,ANGAMALY,KOZHIKODE,0
KL15A2042,KOZHIKODE,PATHANAPURAM,0
KL15A2704,THRISSUR,TRIVANDRUM,0
KL15A17,ALUVA,CHALAKUDY,0
KL15A2566,KOTTARAKKARA,THALASSERY,0
KL15A572,THRISSUR,TRIVANDRUM,0
KL15A1344,PATTAMBI,THRISSUR,0
KL15A231,ALUVA,THRISSUR,0
KL15A0521,ANGAMALY,ERUMELI,0
KL15A1134,THRISSUR,PERINTALMANNA,0
KL15A9798,PERINTALMANNA,ERNAKULAM,0
KL15A879,THRISSUR,KOZHIKODE,0
KL15A8785,ALUVA,ANGAMALY,0
KL15A2047,THRISSUR,ALAPPUZHA,0
KL15A376,THRISSUR,ALAPPUZHA,0
KL15A0357,MUVATTUPUZHA,KOZHIKODE,0
KL15S1508,ANGAMALY,THRISSUR,0
KL15A1711,CHALAKUDY,ERNAKULAM,0
KL15A133,THRISSUR,KANNUR,0
KL15A1812,THRISSUR,TRIVANDRUM,0
KL15A1742,CHERTHALA,THRISSUR,0
KL15A30,CHALAKUDY,ERNAKULAM,0
KL15A2493,TRIVANDRUM,PALAKAD,0
KL15A2429,VEMBAYAM,PALAKAD,0
KL15A2243,PALAKAD,PALA,0
KL15A0670,ALAPPUZHA,THRISSUR,0
KL15A8785,THRISSUR,KOTTARAKKARA,0
KL15A1256,KOLLAM,CHALAKUDY,0
KL15A2087,ANGAMALY,TRIVANDRUM,0
KL15A2573,TRIVANDRUM,THRISSUR,0
KL15A0934,KATTAKADA,GURUVAYUR,0
KL15A1828,CHALAKUDY,ERNAKULAM,0
KL15A1491,ANGAMALY,KOTTAYAM,0
KL15A1831,PALA,THRISSUR,0
KL159706,ANGAMALY,ALUVA,0
KL15A1591,ERNAKULAM,THRISSUR,0
KL15A1833,KANNUR,IDUKKI,0
KL15A41777,ERNAKULAM,PALAKKAD,0
KL15A1501,THRISSUR,KAYAMKULAM,0
